,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
13,0610115.001,"[[-73.991177, 40.75533], [-73.991633, 40.754706999999996], [-73.994468, 40.755908999999996], [-73.992633, 40.75843], [-73.989791, 40.757234], [-73.990276, 40.756567], [-73.991177, 40.75533]]",1263,         87827,1305,68,1263,730,739,169,1263,41,739,433
15,0610121.001,"[[-73.989297, 40.757906999999996], [-73.989791, 40.757234], [-73.992633, 40.75843], [-73.99213999999999, 40.759102999999996], [-73.99168499999999, 40.759729], [-73.98884199999999, 40.758533], [-73.989297, 40.757906999999996]]",1517,         45264,1609,192,1517,1019,943,230,1517,83,943,911
16,0610121.006,"[[-73.99123, 40.760354], [-73.99407, 40.761551999999995], [-73.99360899999999, 40.762184], [-73.990764, 40.760988], [-73.99123, 40.760354]]",897,         22089,927,30,897,620,564,132,897,29,564,442
17,0610125.001,"[[-73.981341, 40.758645], [-73.98225599999999, 40.757387], [-73.985085, 40.758589], [-73.985322, 40.758686999999995], [-73.984464, 40.760773], [-73.986561, 40.76166], [-73.986104, 40.76229], [-73.983263, 40.761094], [-73.980426, 40.759899], [-73.980886, 40.75927], [-73.981341, 40.758645]]",1076,        121011,1123,54,1076,679,656,170,1076,43,656,636
18,0610127.003,"[[-73.989863, 40.762235], [-73.99031599999999, 40.761606], [-73.990764, 40.760988], [-73.99360899999999, 40.762184], [-73.993156, 40.762806], [-73.992701, 40.763431], [-73.989863, 40.762235]]",1913,43361,1999,229,1913,1085,1025,256,1913,85,1025,857
19,0610133.003,"[[-73.988491, 40.764109999999995], [-73.988947, 40.763486], [-73.991788, 40.764683999999995], [-73.991333, 40.76531], [-73.990876, 40.765934], [-73.98803199999999, 40.764737], [-73.988491, 40.764109999999995]]",1296,43594,1377,77,1296,807,745,199,1296,76,745,725
20,0610135.002,"[[-73.99080099999999, 40.76754], [-73.989964, 40.767188], [-73.990422, 40.766560999999996], [-73.990876, 40.765934], [-73.991333, 40.76531], [-73.991788, 40.764683999999995], [-73.992345, 40.764919], [-73.996493, 40.766684999999995], [-73.996034, 40.767303], [-73.995629, 40.767953999999996], [-73.994688, 40.769219], [-73.99280499999999, 40.768381999999995], [-73.99080099999999, 40.76754]]",2905,145544,3069,353,2905,1176,1558,221,2905,149,1558,1549
21,0610137.001,"[[-73.976703, 40.764996], [-73.97954399999999, 40.766197], [-73.97907599999999, 40.766875999999996], [-73.97623399999999, 40.765675], [-73.976703, 40.764996]]",1081,23366,1099,12,1081,533,705,61,1081,18,705,390
22,0610137.004,"[[-73.982152, 40.767680999999996], [-73.98181799999999, 40.76761], [-73.981634, 40.767645], [-73.98151, 40.767703999999995], [-73.98136199999999, 40.767837], [-73.97907599999999, 40.766875999999996], [-73.97954399999999, 40.766197], [-73.980036, 40.765521], [-73.981848, 40.766287], [-73.982877, 40.766715], [-73.98237999999999, 40.7674], [-73.982152, 40.767680999999996]]",1199,44693,1226,24,1199,490,717,54,1199,25,717,496
23,0610080.001,"[[-73.974935, 40.7501], [-73.975383, 40.749483], [-73.975835, 40.748863], [-73.976288, 40.748245], [-73.977888, 40.748920999999996], [-73.976986, 40.750157], [-73.97604799999999, 40.751441], [-73.97444899999999, 40.750766], [-73.974935, 40.7501]]",904,         49487,916,14,904,592,599,108,904,12,599,438
