,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
82,0470519.001,"[[-73.953865, 40.715433], [-73.956439, 40.717031999999996], [-73.955844, 40.717589], [-73.954061, 40.719246], [-73.953469, 40.719798], [-73.952477, 40.719218999999995], [-73.95240199999999, 40.718796999999995], [-73.952297, 40.718146999999995], [-73.952287, 40.718084999999995], [-73.951859, 40.715528], [-73.952178, 40.715306], [-73.952793, 40.714763], [-73.953865, 40.715433]]",1454,        118783,1523,32,1454,797,697,256,1454,64,697,580
83,0470519.002,"[[-73.95434, 40.714072], [-73.954656, 40.714075], [-73.95533, 40.714073], [-73.95599399999999, 40.714092], [-73.95626899999999, 40.714158999999995], [-73.95822299999999, 40.715374], [-73.95762599999999, 40.715927], [-73.957031, 40.716483], [-73.956439, 40.717031999999996], [-73.953865, 40.715433], [-73.952793, 40.714763], [-73.953411, 40.714220999999995], [-73.953583, 40.71407], [-73.95434, 40.714072]]",1060,         82585,1092,21,1060,627,546,198,1060,29,546,456
84,0470519.003,"[[-73.95533, 40.714073], [-73.954656, 40.714075], [-73.95434, 40.714072], [-73.95506499999999, 40.712866], [-73.95547599999999, 40.712266], [-73.95680999999999, 40.712756], [-73.958342, 40.713305999999996], [-73.959797, 40.713887], [-73.959486, 40.714192], [-73.959277, 40.71439], [-73.95822299999999, 40.715374], [-73.95626899999999, 40.714158999999995], [-73.95599399999999, 40.714092], [-73.95533, 40.714073]]",1050,         72264,1095,38,1050,640,507,205,1050,43,507,444
85,0470523.003,"[[-73.959064, 40.712165999999996], [-73.959533, 40.711424], [-73.959943, 40.710786999999996], [-73.960388, 40.710056], [-73.961238, 40.710234], [-73.962, 40.710432999999995], [-73.961421, 40.711349], [-73.961029, 40.711968999999996], [-73.960561, 40.712713], [-73.959064, 40.712165999999996]]",1214,         38048,1260,70,1214,415,454,163,1214,44,454,409
86,0470525.002,"[[-73.96114399999999, 40.707524], [-73.962131, 40.707623], [-73.962743, 40.707685], [-73.96257299999999, 40.708535], [-73.962414, 40.709351999999996], [-73.960825, 40.709168999999996], [-73.960984, 40.708357], [-73.96114399999999, 40.707524]]",1329,         25272,1347,49,1329,145,387,35,1329,17,387,368
87,0470527.004,"[[-73.95698, 40.708906], [-73.956305, 40.708673999999995], [-73.955119, 40.708265999999995], [-73.953606, 40.707744999999996], [-73.954017, 40.70708], [-73.956724, 40.70801], [-73.957353, 40.708231999999995], [-73.957904, 40.708427], [-73.957488, 40.70908], [-73.95698, 40.708906]]",905,         29532,950,78,905,295,314,119,905,44,314,306
88,0470533.004,"[[-73.95633699999999, 40.705439], [-73.955704, 40.704876], [-73.955074, 40.704312], [-73.956985, 40.703075], [-73.958244, 40.704203], [-73.95633699999999, 40.705439]]",1561,         34851,1568,7,1561,85,433,7,1561,6,433,356
89,0470535.001,"[[-73.959509, 40.705332], [-73.960138, 40.705898], [-73.96076699999999, 40.706464], [-73.959395, 40.707352], [-73.958456, 40.707252], [-73.95855, 40.706880999999996], [-73.959155, 40.705501999999996], [-73.959338, 40.705180999999996], [-73.959509, 40.705332]]",1408,         24664,1421,12,1408,74,364,15,1408,12,364,330
90,0470543.002,"[[-73.969728, 40.697804], [-73.965774, 40.697635999999996], [-73.962839, 40.698039], [-73.964551, 40.696107], [-73.965434, 40.695941], [-73.96638899999999, 40.69581], [-73.968384, 40.695931], [-73.96937199999999, 40.695954], [-73.969728, 40.697804]]",320,        101851,347,34,320,192,178,57,320,24,178,178
91,0470545.003,"[[-73.967289, 40.707001999999996], [-73.965932, 40.707243999999996], [-73.964849, 40.707454], [-73.964393, 40.707056], [-73.965672, 40.706202999999995], [-73.965093, 40.705633999999996], [-73.965285, 40.705498999999996], [-73.965541, 40.705334], [-73.966325, 40.70483], [-73.96672699999999, 40.705523], [-73.967289, 40.707001999999996]]",2033,         36069,2075,164,2033,158,618,37,2033,41,618,585
92,0470547.002,"[[-73.96432899999999, 40.708014999999996], [-73.965938, 40.708197], [-73.965801, 40.708901999999995], [-73.964185, 40.70872], [-73.96257299999999, 40.708535], [-73.962743, 40.707685], [-73.963278, 40.707729], [-73.964421, 40.707533999999995], [-73.96432899999999, 40.708014999999996]]",1456,         25950,1468,28,1456,92,326,25,1456,11,326,282
93,0470551.002,"[[-73.962552, 40.712526], [-73.962081, 40.713269], [-73.961287, 40.714501999999996], [-73.959797, 40.713887], [-73.960561, 40.712713], [-73.961029, 40.711968999999996], [-73.962552, 40.712526]]",1196,         34304,1281,113,1196,516,548,152,1196,78,548,513
94,0470561.003,"[[-73.952412, 40.728418], [-73.951821, 40.727384], [-73.950875, 40.725721], [-73.951736, 40.725435999999995], [-73.952597, 40.725152], [-73.95354499999999, 40.726814], [-73.954137, 40.727848], [-73.953273, 40.728133], [-73.952412, 40.728418]]",811,         51825,849,11,811,337,363,103,811,30,363,313
95,0470563.003,"[[-73.958175, 40.733426], [-73.958292, 40.734134999999995], [-73.95840799999999, 40.734843999999995], [-73.955074, 40.73516], [-73.954959, 40.734449], [-73.954843, 40.73374], [-73.958175, 40.733426]]",1146,         45050,1192,53,1146,504,502,162,1146,40,502,442
96,0470565.002,"[[-73.954379, 40.730906999999995], [-73.957711, 40.730588999999995], [-73.957943, 40.732009], [-73.95460899999999, 40.732324], [-73.954379, 40.730906999999995]]",1149,         45035,1193,20,1149,572,545,175,1149,38,545,444
97,0470569.002,"[[-73.953442, 40.724872999999995], [-73.952597, 40.725152], [-73.951736, 40.725435999999995], [-73.950788, 40.723772], [-73.951646, 40.723486], [-73.952494, 40.723205], [-73.954183, 40.722636], [-73.954776, 40.72246], [-73.956273, 40.723389999999995], [-73.953442, 40.724872999999995]]",784,         80579,809,5,784,346,369,109,784,25,369,274
98,0470571.001,"[[-73.947544, 40.726822], [-73.94587899999999, 40.727354], [-73.945678, 40.727024], [-73.94543, 40.725518], [-73.945773, 40.725432], [-73.947425, 40.724885], [-73.948373, 40.726548], [-73.947544, 40.726822]]",1235,         42523,1255,10,1235,491,580,152,1235,19,580,477
99,0470571.003,"[[-73.949083, 40.724336], [-73.947425, 40.724885], [-73.946275, 40.722863], [-73.949078, 40.722539999999995], [-73.949924, 40.724056], [-73.949083, 40.724336]]",1034,         49290,1048,7,1034,470,498,137,1034,14,498,390
100,0470575.002,"[[-73.95460899999999, 40.732324], [-73.95472699999999, 40.733031], [-73.954843, 40.73374], [-73.952259, 40.733988], [-73.952012, 40.732572], [-73.95460899999999, 40.732324]]",1046,         35026,1099,34,1046,400,472,132,1046,49,472,422
101,0471237.001,"[[-73.95799699999999, 40.694365999999995], [-73.959311, 40.694215], [-73.96015799999999, 40.694117], [-73.961051, 40.698326], [-73.95885799999999, 40.698676999999996], [-73.95799699999999, 40.694365999999995]]",1267,         89464,1300,71,1267,100,275,45,1267,33,275,214
102,0471237.002,"[[-73.956581, 40.696784], [-73.956143, 40.694579], [-73.95799699999999, 40.694365999999995], [-73.95885799999999, 40.698676999999996], [-73.95702, 40.698974], [-73.956581, 40.696784]]",2618,         77467,2659,85,2618,100,527,36,2618,38,527,438
103,0471237.003,"[[-73.956581, 40.696784], [-73.95702, 40.698974], [-73.95336999999999, 40.699405], [-73.952925, 40.697204], [-73.952489, 40.695004], [-73.954307, 40.694790999999995], [-73.955197, 40.694688], [-73.956143, 40.694579], [-73.956581, 40.696784]]",2123,        154429,2157,96,2123,148,456,51,2123,34,456,350
108,0470049.001,"[[-73.99654799999999, 40.690104], [-73.99687399999999, 40.689433], [-73.997562, 40.688], [-73.99907, 40.688497999999996], [-73.998742, 40.689177], [-73.997793, 40.691188], [-73.996233, 40.690757999999995], [-73.99654799999999, 40.690104]]",922,         44629,947,196,922,174,228,43,922,24,228,170
109,0470449.001,"[[-73.94012, 40.716359], [-73.940231, 40.717090999999996], [-73.936549, 40.717211], [-73.93633899999999, 40.716778999999995], [-73.935613, 40.715191], [-73.938696, 40.715323], [-73.93901699999999, 40.716065], [-73.940022, 40.715813], [-73.94012, 40.716359]]",436,         65810,454,172,436,28,79,15,436,16,79,62
110,0470127.001,"[[-73.982855, 40.682148999999995], [-73.982423, 40.682783], [-73.984375, 40.683543], [-73.983953, 40.684182], [-73.981993, 40.683417999999996], [-73.97960499999999, 40.682489], [-73.980034, 40.681854], [-73.980463, 40.681221], [-73.982855, 40.682148999999995]]",1152,         50697,1224,321,1152,558,503,174,1152,61,503,394
111,0470127.002,"[[-73.985231, 40.68228], [-73.983276, 40.681523], [-73.982855, 40.682148999999995], [-73.980463, 40.681221], [-73.98089399999999, 40.680586999999996], [-73.981324, 40.679952], [-73.98175499999999, 40.679317], [-73.984139, 40.680246], [-73.986104, 40.681008999999996], [-73.985231, 40.68228]]",972,         83537,1035,306,972,284,422,79,972,58,422,415
112,0470129.011,"[[-73.979165, 40.683125], [-73.978743, 40.68376], [-73.978337, 40.684394999999995], [-73.978026, 40.684864], [-73.977457, 40.684052], [-73.975929, 40.683505], [-73.976209, 40.68273], [-73.976317, 40.682508999999996], [-73.976596, 40.68212], [-73.977023, 40.681486], [-73.97960499999999, 40.682489], [-73.979165, 40.683125]]",758,         59988,803,99,758,243,297,86,758,39,297,208
113,0470477.001,"[[-73.943285, 40.718226], [-73.943427, 40.718934], [-73.94639699999999, 40.718661999999995], [-73.94676799999999, 40.718700000000005], [-73.946798, 40.718863999999996], [-73.94440999999999, 40.720272], [-73.943697, 40.720735999999995], [-73.94196099999999, 40.721689], [-73.941091, 40.722271], [-73.941075, 40.722167], [-73.940867, 40.720887], [-73.940747, 40.720155999999996], [-73.94049199999999, 40.718679], [-73.940439, 40.718433], [-73.940669, 40.718447999999995], [-73.943285, 40.718226]]",1268,        115899,1333,54,1268,684,620,222,1268,58,620,436
