id,lat,lon,state
461,40.73587678,-73.98205027,NY
462,40.74691959,-74.00451887,NY
463,40.74206539,-74.00443172,NY
464,40.75934501,-73.96759673,NY
465,40.75513557,-73.98658032,NY
466,40.74395411,-73.99144871,NY
467,40.68312489,-73.97895137,NY
468,40.7652654,-73.98192338,NY
469,40.76344058,-73.98268129,NY
470,40.74345335,-74.00004031,NY
471,40.71286844,-73.95698119,NY
472,40.7457121,-73.98194829,NY
473,40.72110063,-73.9919254,NY
474,40.7451677,-73.98683077,NY
475,40.73524276,-73.98758561,NY
476,40.74394314,-73.97966069,NY
477,40.75640548,-73.9900262,NY
478,40.76030096,-73.99884222,NY
479,40.76019252,-73.9912551,NY
480,40.76669671,-73.99061728,NY
481,40.71260486,-73.96264403,NY
482,40.73935542,-73.99931783,NY
483,40.73223272,-73.98889957,NY
484,40.75500254,-73.98014437,NY
485,40.75038009,-73.98338988,NY
486,40.7462009,-73.98855723,NY
487,40.73314259,-73.97573881,NY
488,40.75645824,-73.99372222,NY
489,40.75066386,-74.00176802,NY
490,40.751551,-73.993934,NY
491,40.74096374,-73.98602213,NY
492,40.75019995,-73.99093085,NY
493,40.7568001,-73.98291153,NY
494,40.74734825,-73.99723551,NY
495,40.76269882,-73.99301222,NY
496,40.73726186,-73.99238967,NY
497,40.73704984,-73.99009296,NY
498,40.74854862,-73.98808416,NY
499,40.76915505,-73.98191841,NY
500,40.76228826,-73.98336183,NY
501,40.744219,-73.97121214,NY
502,40.714215,-73.981346,NY
503,40.73827428,-73.98751968,NY
504,40.73221853,-73.98165557,NY
505,40.74901271,-73.98848395,NY
507,40.73912601,-73.97973776,NY
508,40.76341379,-73.99667444,NY
509,40.7454973,-74.00197139,NY
510,40.7606597,-73.98042047,NY
511,40.72938685,-73.97772429,NY
512,40.7500727,-73.99839279,NY
513,40.768254,-73.988639,NY
514,40.76087502,-74.00277668,NY
515,40.76009437,-73.99461843,NY
516,40.75206862,-73.96784384,NY
517,40.752141,-73.979782,NY
518,40.74780373,-73.9734419,NY
519,40.752416,-73.97837,NY
520,40.75992262,-73.97648516,NY
521,40.75044999,-73.99481051,NY
522,40.75714758,-73.97207836,NY
523,40.75466591,-73.99138152,NY
524,40.75527307,-73.98316936,NY
525,40.75594159,-74.0021163,NY
526,40.74765947,-73.98490707,NY
527,40.74315566,-73.97434726,NY
528,40.74290902,-73.97706058,NY
529,40.7575699,-73.99098507,NY
530,40.771522,-73.990541,NY
531,40.71893904,-73.99266288,NY
532,40.710451,-73.960876,NY
533,40.75299641,-73.98721619,NY
534,40.70255065,-74.0127234,NY
536,40.74144387,-73.97536082,NY
537,40.74025878,-73.98409214,NY
538,40.75795248,-73.97787642,NY
539,40.71534825,-73.96024116,NY
540,40.74147286,-73.98320928,NY
545,40.736502,-73.97809472,NY
546,40.74444921,-73.98303529,NY
2000,40.70255088,-73.98940236,NY
2001,40.699773,-73.979927,NY
2002,40.716887,-73.963198,NY
2003,40.73416059,-73.98024289,NY
2004,40.724399,-74.004704,NY
2005,40.70531194,-73.97100056,NY
2006,40.76590936,-73.97634151,NY
2008,40.70569254,-74.01677685,NY
2009,40.71117444,-73.99682619,NY
2010,40.72165481,-74.00234737,NY
2012,40.739445,-73.976806,NY
2017,40.75022392,-73.97121414,NY
2021,40.75929124,-73.98859651,NY
2022,40.75849116,-73.95920622,NY
2023,40.75968085,-73.97031366,NY
3002,40.711512,-74.015756,NY
