,comName_cen2010,comPop2010,medInc2010,comNum,comNameLong,walkScore,tranScore,bikeScore,comPop,comName,area,Pr2010,Pr2011,Pr2012,Pr2013,Pr2014,HOM_TA2010,BAT_TA2010,BUR_TA2010,ROB_TA2010,NAR_TA2010,ALL_TA2010
10,Jefferson Park,25448,60592,11,Jefferson Park,75.0,63.5,62.0,42971.0,JeffersonPark,64868161.68,175583.33333333334,143458.33333333334,132000.0,131908.33333333334,143371.42857142858,1.0,243.0,96.5,24.5,57.833333333333336,1617.8333333333333
11,Forest Glen,18508,87394,12,Forest Glen,53.5,48.5,54.75,16506.0,ForestGlen,89130893.64,,,,,,1.0,75.5,74.83333333333333,8.0,29.5,773.6666666666666
12,North Park,17931,53305,13,North Park,74.5,56.5,67.0,12923.0,NorthPark,70288706.43,,,,,,1.5,179.0,135.0,29.666666666666668,84.83333333333333,1449.1666666666667
13,Albany Park,51542,46198,14,Albany Park,80.0,62.25,68.5,73219.0,AlbanyPark,53542230.82,185816.66666666666,154591.66666666666,130416.66666666667,137091.66666666666,160642.85714285713,3.8,685.5,254.5,126.0,264.1666666666667,3774.8333333333335
14,Portage Park,64124,52356,15,Portage Park,72.0,60.0,55.0,43331.0,PortagePark,110196097.1,186833.33333333334,158225.0,152483.33333333334,181641.66666666666,197371.42857142858,1.75,842.0,348.8333333333333,129.83333333333334,408.3333333333333,5380.333333333333
15,Irving Park,53359,54048,16,Irving Park,76.6,69.0,61.4,34931.0,IrvingPark,89611382.31,147883.33333333334,115591.66666666667,95541.66666666667,101433.33333333333,116000.0,2.0,822.1666666666666,385.1666666666667,130.33333333333334,266.6666666666667,4836.0
16,Dunning,41932,61584,17,Dunning,60.0,55.2,49.0,34321.0,Dunning,103595001.2,181700.0,148266.66666666666,138316.66666666666,150947.22222222222,159338.09523809524,1.6666666666666667,373.0,199.66666666666666,45.666666666666664,103.66666666666667,2634.5
17,Montclare,13426,47460,18,Montclare,71.0,59.0,53.0,16350.0,Montclare,27576393.63,178958.33333333334,133791.66666666666,118225.0,130533.33333333333,141714.2857142857,1.25,157.5,83.66666666666667,22.5,34.0,1013.6666666666666
18,Belmont Cragin,78743,42842,19,Belmont Cragin,75.66666666666667,60.333333333333336,55.333333333333336,73635.0,BelmontCragin,109099414.7,,,,,,5.333333333333333,1346.0,614.1666666666666,273.8333333333333,560.5,8032.666666666667
19,Hermosa,25010,42418,20,Hermosa,76.0,60.333333333333336,57.333333333333336,38077.0,Hermosa,32602059.41,,,,,,3.0,514.0,187.66666666666666,86.83333333333333,242.5,2561.0
20,Avondale,39262,46519,21,Avondale,80.0,69.0,70.0,18050.0,Avondale,55290595.47,273950.0,243866.66666666666,222066.66666666666,245808.33333333334,271114.28571428574,3.1666666666666665,647.1666666666666,321.5,160.0,230.33333333333334,3993.0
