,lat,lng,price,htype,comm
196,41.972225,-87.68017,146000.0,Condo,Ravenswood
197,41.89626,-87.636475,280000.0,Condo,Near North Side
198,41.91227,-87.635506,150000.0,Condo,Lincoln Park
199,41.79563,-87.6023,144000.0,Condo,Hyde Park
200,41.970325,-87.68566,240000.0,Condo,Ravenswood
201,41.793556,-87.58879,525000.0,Townhouse,Hyde Park
202,41.943302,-87.66112,267500.0,Condo,
203,41.942005,-87.66764,662500.0,Condo,
204,41.91412,-87.692345,550000.0,Townhouse,Bucktown
205,41.932453,-87.68577,325000.0,Condo,Bucktown
206,41.94366,-87.642876,370000.0,Condo,
207,41.940037,-87.66307,450000.0,Condo,
208,41.913498,-87.64176,390000.0,Townhouse,Lincoln Park
209,41.95723,-87.66699,336000.0,Condo,
210,41.940582,-87.65742,421000.0,Condo,
211,41.979557,-87.8377,130000.0,Condo,O'Hare
212,41.914894,-87.6517,400000.0,Condo,DePaul
213,41.909126,-87.649895,355000.0,Condo,Near North Side
214,41.870457,-87.66438,430000.0,Townhouse,University Village / Little Italy
215,41.93896,-87.64293,430000.0,Condo,
216,41.800926,-87.58562,110000.0,Condo,Hyde Park
217,41.796436,-87.585976,149500.0,Condo,Hyde Park
218,41.933483,-87.64236,352500.0,Condo,
219,41.909218,-87.628426,235000.0,Condo,Near North Side
220,41.8703,-87.6804,340000.0,Townhouse,
221,41.939926,-87.67129,481000.0,Condo,
222,41.937595,-87.66939,564000.0,Condo,
223,41.938923,-87.677986,522500.0,Condo,Roscoe Village
224,41.89532,-87.62647,270000.0,Condo,Near North Side
225,41.975216,-87.676796,339000.0,Condo,Lincoln Square
226,41.945538,-87.6613,272000.0,Condo,
227,41.9374,-87.639175,320000.0,Condo,
228,41.89365,-87.66432,326000.0,Condo,Goose Island
229,41.93417,-87.654976,572500.0,Condo,
230,41.775253,-87.790596,40000.0,Condo,Clearing
231,41.87257,-87.656525,640000.0,Townhouse,University Village / Little Italy
232,41.88229,-87.651886,563000.0,Condo,
233,41.90188,-87.62671,410000.0,Condo,Near North Side
234,42.007706,-87.66205,165000.0,Condo,Rogers Park
235,41.88926,-87.65791,305000.0,Condo,Goose Island
236,41.89152,-87.61278,387000.0,Condo,Near North Side
237,41.855236,-87.62117,220000.0,Condo,Near South Side
238,41.90834,-87.6284,180000.0,Condo,Near North Side
239,41.886562,-87.62159,237500.0,Condo,Loop
240,41.965466,-87.671555,345000.0,Condo,Ravenswood
241,41.97189,-87.68927,330000.0,Condo,Ravenswood
242,41.913425,-87.64513,575000.0,Condo,Lincoln Park
243,41.998745,-87.667595,86000.0,Condo,Rogers Park
244,41.84777,-87.6396,225000.0,Condo,Armour Square
245,41.855804,-87.62783,273500.0,Condo,Near South Side
