,gNum,comNum,gAllCrimePer,gHOMIper,gBURGper,gNARCper,gPop,gPopDen,gPrice,gPriceNum,gSchScore,gSchScoreNum,gSqDistFromCBD,Unnamed: 0,comName_cen2010,comPop2010,medInc2010,comNameLong,walkScore,tranScore,bikeScore,comPop,comName,area,Pr2010,Pr2011,Pr2012,Pr2013,Pr2014,HOM_TA2010,BAT_TA2010,BUR_TA2010,ROB_TA2010,NAR_TA2010,ALL_TA2010,comPop2014est,popDen2014est
473,810.0,68.0,19321.0,24.0,1035.0,1700.0,4057.7294087878577,9511.598213618468,0.0,0.0,42.0,1.0,10.48973529970466,67,Englewood,30654,19743,Englewood,65.0,65.0,53.0,49869.0,Englewood,85652323.08,,,,,,17.166666666666668,2894.833333333333,829.5,541.8333333333334,1521.333333333333,11696.333333333336,29223.0,9511.598213618468
474,813.0,68.0,41870.0,73.0,2020.0,4115.0,4057.7294087878577,9511.598213618468,0.0,0.0,41.33,3.0,8.469289426356761,67,Englewood,30654,19743,Englewood,65.0,65.0,53.0,49869.0,Englewood,85652323.08,,,,,,17.166666666666668,2894.833333333333,829.5,541.8333333333334,1521.333333333333,11696.333333333336,29223.0,9511.598213618468
475,814.0,68.0,37779.0,49.0,1872.0,2587.0,4057.7294087878577,9511.598213618468,0.0,0.0,46.5,4.0,7.795879522115217,67,Englewood,30654,19743,Englewood,65.0,65.0,53.0,49869.0,Englewood,85652323.08,,,,,,17.166666666666668,2894.833333333333,829.5,541.8333333333334,1521.333333333333,11696.333333333336,29223.0,9511.598213618468
476,815.0,68.0,34649.0,49.0,1675.0,1922.0,4057.7294087878577,9511.598213618468,0.0,0.0,52.0,2.0,7.122522676152666,67,Englewood,30654,19743,Englewood,65.0,65.0,53.0,49869.0,Englewood,85652323.08,,,,,,17.166666666666668,2894.833333333333,829.5,541.8333333333334,1521.333333333333,11696.333333333336,29223.0,9511.598213618468
477,782.0,46.0,7056.0,0.0,253.0,380.0,3939.8133647919612,9235.194855868853,0.0,0.0,46.832499999999996,0.0,2.5547038667444926,45,South Chicago,31198,31164,South Chicago,62.5,62.5,51.5,30898.0,SouthChicago,93272185.01,,,,,,13.5,1732.5,591.3333333333334,327.0,966.5,8075.833333333332,30898.0,9235.194855868853
478,817.0,46.0,10457.0,25.0,659.0,1319.0,3939.8133647919612,9235.194855868853,0.0,0.0,40.67,1.0,5.776042382929876,45,South Chicago,31198,31164,South Chicago,62.5,62.5,51.5,30898.0,SouthChicago,93272185.01,,,,,,13.5,1732.5,591.3333333333334,327.0,966.5,8075.833333333332,30898.0,9235.194855868853
479,855.0,46.0,27361.0,50.0,1421.0,2208.0,3939.8133647919612,9235.194855868853,26000.0,1.0,46.67,1.0,7.1298226545917,45,South Chicago,31198,31164,South Chicago,62.5,62.5,51.5,30898.0,SouthChicago,93272185.01,,,,,,13.5,1732.5,591.3333333333334,327.0,966.5,8075.833333333332,30898.0,9235.194855868853
480,1051.0,46.0,36626.0,152.0,3654.0,3858.0,3939.8133647919612,9235.194855868853,0.0,0.0,38.67,1.0,10.440898119232141,45,South Chicago,31198,31164,South Chicago,62.5,62.5,51.5,30898.0,SouthChicago,93272185.01,,,,,,13.5,1732.5,591.3333333333334,327.0,966.5,8075.833333333332,30898.0,9235.194855868853
481,1090.0,46.0,61627.0,126.0,3578.0,6599.0,3939.8133647919612,9235.194855868853,0.0,0.0,41.33,1.0,11.296220958042957,45,South Chicago,31198,31164,South Chicago,62.5,62.5,51.5,30898.0,SouthChicago,93272185.01,,,,,,13.5,1732.5,591.3333333333334,327.0,966.5,8075.833333333332,30898.0,9235.194855868853
482,1091.0,46.0,37819.0,101.0,2969.0,4289.0,3939.8133647919612,9235.194855868853,0.0,0.0,50.67,1.0,10.673721433020633,45,South Chicago,31198,31164,South Chicago,62.5,62.5,51.5,30898.0,SouthChicago,93272185.01,,,,,,13.5,1732.5,591.3333333333334,327.0,966.5,8075.833333333332,30898.0,9235.194855868853
